42574,the,0.722389252,1
19294,to,0.746501503,2
18510,that,0.731334414,3
18356,of,0.729788625,4
14595,and,0.740801644,5
12359,in,0.731936241,6
10152,is,0.739952719,7
9664,a,0.724751656,8
8279,i,0.75649233,9
7553,we,0.759698133,10
6334,it,0.739027471,11
6099,for,0.714543368,12
5664,not,0.70144774,13
5494,have,0.750091008,14
5483,be,0.711107058,15
4552,on,0.730887522,16
4484,are,0.724130241,17
4353,will,0.735354928,18
3902,as,0.755509995,19
3621,with,0.753106877,20
3435,has,0.744104803,21
3292,hon,0.758201701,22
2803,he,0.713164467,23
2718,they,0.724797645,24
2675,was,0.716261682,25
2657,there,0.74219044,26
2647,but,0.749905553,27
2626,by,0.702208682,28
2391,been,0.73483898,29
2379,my,0.750735603,30
2299,this,0.728142671,31
2240,our,0.75625,32
2122,would,0.698868992,33
2061,what,0.722950024,34
2015,which,0.728039702,35
1995,if,0.687719298,36
1947,about,0.704673857,37
1911,do,0.723704867,38
1886,from,0.726935313,39
1881,at,0.742158426,40
1853,right,0.727468969,41
1824,who,0.717653509,42
1764,people,0.72675737,43
1757,united,0.684689812,44
1737,those,0.744386874,45
1727,an,0.690793283,46
1661,or,0.686333534,47
1602,all,0.769662921,48
1579,their,0.739708676,49
1556,should,0.681876607,50
1491,his,0.733735748,51
1489,no,0.74680994,52
1471,government,0.675050986,53
1440,can,0.770138889,54
1419,must,0.732205779,55
1406,us,0.633001422,56
1327,friend,0.785983421,57
1326,so,0.736802413,58
1324,house,0.734138973,59
1299,action,0.677444188,60
1275,military,0.68627451,61
1265,iraq,0.67826087,62
1260,were,0.717460317,63
1242,one,0.716586151,64
1240,war,0.527419355,65
1189,international,0.720773759,66
1188,more,0.733164983,67
1123,some,0.727515583,68
1107,when,0.691960253,69
1103,member,0.706255666,70
1092,saddam,0.815018315,71
1087,said,0.712971481,72
1086,minister,0.655616943,73
1074,many,0.683426443,74
1058,any,0.715500945,75
1055,had,0.752606635,76
1050,them,0.762857143,77
1048,time,0.731870229,78
1041,states,0.668587896,79
1040,secretary,0.657692308,80
1018,weapons,0.666994106,81
1013,its,0.787759131,82
1012,other,0.701581028,83
1005,am,0.741293532,84
1004,afghanistan,0.771912351,85
974,support,0.710472279,86
967,world,0.687693899,87
946,out,0.768498943,88
941,made,0.749202976,89
940,such,0.720212766,90
927,state,0.730312837,91
915,now,0.766120219,92
901,members,0.682574917,93
872,way,0.735091743,94
872,prime,0.634174312,94
861,forces,0.768873403,96
836,only,0.724880383,97
829,security,0.788902292,98
819,against,0.650793651,99
811,very,0.753390875,100
801,because,0.740324594,101
800,country,0.69125,102
789,also,0.738910013,103
788,however,0.722081218,104
778,mr,0.69151671,105
773,un,0.685640362,106
756,may,0.703703704,107
755,does,0.658278146,108
753,resolution,0.784860558,109
743,take,0.769851952,110
738,nations,0.711382114,111
734,than,0.726158038,112
728,say,0.771978022,113
712,defence,0.707865169,114
710,gentleman,0.773239437,115
